5	50	100	
0	55	53	
1	99	64	
2	34	85	
3	83	50	
4	79	16	
10	83	36	10
11	2	100	10
12	52	26	10
13	51	74	10
14	62	4	10
15	11	77	10
16	32	44	10
17	61	27	10
18	19	17	10
19	50	47	10
20	29	57	10
21	21	11	10
22	3	67	10
23	47	21	10
24	79	38	10
25	32	64	10
26	90	64	10
27	15	71	10
28	18	71	10
29	71	74	10
30	29	22	10
31	72	27	10
32	17	55	10
33	17	52	10
34	10	95	10
35	25	61	10
36	54	35	10
37	56	14	10
38	25	12	10
39	61	80	10
40	29	87	10
41	32	52	10
42	98	14	10
43	80	83	10
44	34	53	10
45	94	32	10
46	67	81	10
47	22	79	10
48	81	20	10
49	40	57	10
50	64	34	10
51	92	9	10
52	25	30	10
53	50	17	10
54	51	92	10
55	60	27	10
56	60	66	10
57	76	94	10
58	42	87	10
59	40	47	10
