20 50 200
0 7 61
1 27 80
2 60 3
3 9 94
4 23 61
5 11 97
6 66 53
7 29 85
8 51 80
9 27 57
10 44 6
11 92 32
12 19 81
13 44 53
14 45 81
15 94 88
16 65 88
17 70 7
18 34 78
19 11 70
20 33 85 10
21 80 11 10
22 5 94 10
23 28 2 10
24 92 53 10
25 81 9 10
26 44 32 10
27 50 2 10
28 34 1 10
29 93 97 10
30 74 51 10
31 56 62 10
32 67 56 10
33 47 3 10
34 77 20 10
35 12 30 10
36 92 73 10
37 8 34 10
38 23 47 10
39 93 90 10
40 75 16 10
41 56 6 10
42 89 79 10
43 28 38 10
44 51 40 10
45 97 68 10
46 49 83 10
47 5 17 10
48 64 29 10
49 71 3 10
50 26 58 10
51 40 72 10
52 67 16 10
53 46 57 10
54 66 23 10
55 30 0 10
56 98 98 10
57 55 96 10
58 86 75 10
59 60 31 10
60 87 28 10
61 37 14 10
62 82 92 10
63 80 58 10
64 20 23 10
65 35 52 10
66 60 64 10
67 9 67 10
68 92 97 10
69 1 84 10
