10	75	100	
0	6	77	
1	37	57	
2	91	6	
3	21	77	
4	40	36	
5	52	50	
6	77	10	
7	95	12	
8	40	33	
9	14	50	
20	16	19	10
21	53	98	10
22	94	35	10
23	48	94	10
24	69	17	10
25	20	36	10
26	14	35	10
27	8	56	10
28	47	53	10
29	85	16	10
30	52	71	10
31	94	80	10
32	1	85	10
33	85	17	10
34	69	88	10
35	96	70	10
36	30	26	10
37	26	95	10
38	70	26	10
39	31	28	10
40	9	91	10
41	91	52	10
42	56	60	10
43	25	89	10
44	20	87	10
45	53	50	10
46	8	31	10
47	5	59	10
48	43	33	10
49	99	5	10
50	1	95	10
51	54	28	10
52	80	67	10
53	87	44	10
54	47	74	10
55	27	84	10
56	67	47	10
57	89	91	10
58	18	54	10
59	12	6	10
60	11	21	10
61	67	33	10
62	39	53	10
63	68	18	10
64	65	82	10
65	12	14	10
66	28	46	10
67	37	84	10
68	15	1	10
69	53	55	10
70	18	55	10
71	52	49	10
72	85	8	10
73	92	67	10
74	74	8	10
75	57	75	10
76	91	54	10
77	9	69	10
78	85	7	10
79	81	59	10
80	52	27	10
81	26	94	10
82	79	1	10
83	98	67	10
84	16	7	10
85	9	98	10
86	26	6	10
87	93	2	10
88	92	88	10
89	60	18	10
90	75	24	10
91	32	79	10
92	64	32	10
93	74	34	10
94	64	74	10
