5 50 150
0 60 33
1 15 82
2 30 69
3 6 66
4 29 16
10 76 4 10
11 53 39 10
12 66 25 10
13 31 81 10
14 86 100 10
15 47 78 10
16 16 6 10
17 38 94 10
18 55 29 10
19 77 62 10
20 100 25 10
21 19 84 10
22 37 66 10
23 33 88 10
24 6 26 10
25 94 1 10
26 68 77 10
27 18 31 10
28 67 70 10
29 25 87 10
30 22 79 10
31 30 71 10
32 33 67 10
33 90 57 10
34 16 76 10
35 94 26 10
36 41 69 10
37 59 48 10
38 70 42 10
39 87 9 10
40 66 12 10
41 79 5 10
42 54 13 10
43 21 76 10
44 96 53 10
45 8 50 10
46 59 41 10
47 30 51 10
48 43 9 10
49 12 9 10
50 36 46 10
51 37 7 10
52 3 100 10
53 33 60 10
54 53 22 10
55 23 14 10
56 51 95 10
57 29 66 10
58 85 27 10
59 94 92 10
