5 50 150
0 58 55
1 71 59
2 50 34
3 14 19
4 60 20
10 3 96 10
11 20 78 10
12 46 50 10
13 16 62 10
14 17 71 10
15 14 35 10
16 61 73 10
17 36 22 10
18 52 49 10
19 19 72 10
20 62 59 10
21 62 22 10
22 2 91 10
23 20 46 10
24 95 97 10
25 63 47 10
26 71 23 10
27 8 98 10
28 75 97 10
29 72 62 10
30 43 56 10
31 2 52 10
32 6 46 10
33 4 82 10
34 35 22 10
35 39 95 10
36 5 48 10
37 4 12 10
38 46 79 10
39 89 87 10
40 38 53 10
41 1 56 10
42 65 48 10
43 73 7 10
44 78 69 10
45 3 46 10
46 32 12 10
47 99 63 10
48 54 35 10
49 59 28 10
50 18 27 10
51 1 59 10
52 43 1 10
53 53 16 10
54 19 79 10
55 15 82 10
56 53 32 10
57 91 17 10
58 25 33 10
59 45 56 10
