10 50 150
0 7 61
1 27 80
2 60 3
3 9 94
4 23 61
5 11 97
6 66 53
7 29 85
8 51 80
9 27 57
10 33 85 10
11 80 11 10
12 5 94 10
13 28 2 10
14 92 53 10
15 81 9 10
16 44 32 10
17 50 2 10
18 34 1 10
19 93 97 10
20 74 51 10
21 56 62 10
22 67 56 10
23 47 3 10
24 77 20 10
25 12 30 10
26 92 73 10
27 8 34 10
28 23 47 10
29 93 90 10
30 75 16 10
31 56 6 10
32 89 79 10
33 28 38 10
34 51 40 10
35 97 68 10
36 49 83 10
37 5 17 10
38 64 29 10
39 71 3 10
40 26 58 10
41 40 72 10
42 67 16 10
43 46 57 10
44 66 23 10
45 30 0 10
46 98 98 10
47 55 96 10
48 86 75 10
49 60 31 10
50 87 28 10
51 37 14 10
52 82 92 10
53 80 58 10
54 20 23 10
55 35 52 10
56 60 64 10
57 9 67 10
58 92 97 10
59 1 84 10
