20 50 150
0 88 10
1 12 94
2 94 2
3 91 24
4 48 1
5 74 7
6 34 24
7 1 38
8 70 21
9 99 46
10 20 86
11 5 75
12 56 56
13 20 97
14 22 64
15 96 51
16 75 79
17 54 65
18 48 15
19 100 21
20 34 31 10
21 42 49 10
22 19 56 10
23 68 36 10
24 54 93 10
25 80 36 10
26 89 28 10
27 26 90 10
28 19 63 10
29 28 59 10
30 57 86 10
31 24 63 10
32 5 65 10
33 98 22 10
34 75 91 10
35 42 21 10
36 40 66 10
37 23 51 10
38 40 54 10
39 94 52 10
40 24 21 10
41 77 60 10
42 9 66 10
43 98 49 10
44 96 4 10
45 82 30 10
46 69 13 10
47 24 50 10
48 80 75 10
49 38 54 10
50 1 42 10
51 42 28 10
52 2 57 10
53 60 65 10
54 97 75 10
55 10 45 10
56 54 26 10
57 17 18 10
58 27 83 10
59 31 77 10
60 85 94 10
61 27 30 10
62 90 11 10
63 98 22 10
64 54 64 10
65 94 56 10
66 94 58 10
67 85 82 10
68 73 52 10
69 59 30 10
