20 50 150
0 60 33
1 15 82
2 30 69
3 6 66
4 29 16
5 12 43
6 87 88
7 98 66
8 51 66
9 37 92
10 44 92
11 93 92
12 53 53
13 19 60
14 77 97
15 57 31
16 81 65
17 39 7
18 61 99
19 78 17
20 76 4 10
21 53 39 10
22 66 25 10
23 31 81 10
24 86 100 10
25 47 78 10
26 16 6 10
27 38 94 10
28 55 29 10
29 77 62 10
30 100 25 10
31 19 84 10
32 37 66 10
33 33 88 10
34 6 26 10
35 94 1 10
36 68 77 10
37 18 31 10
38 67 70 10
39 25 87 10
40 22 79 10
41 30 71 10
42 33 67 10
43 90 57 10
44 16 76 10
45 94 26 10
46 41 69 10
47 59 48 10
48 70 42 10
49 87 9 10
50 66 12 10
51 79 5 10
52 54 13 10
53 21 76 10
54 96 53 10
55 8 50 10
56 59 41 10
57 30 51 10
58 43 9 10
59 12 9 10
60 36 46 10
61 37 7 10
62 3 100 10
63 33 60 10
64 53 22 10
65 23 14 10
66 51 95 10
67 29 66 10
68 85 27 10
69 94 92 10
