10 50 150
0 33 14
1 94 98
2 38 72
3 10 44
4 96 9
5 7 59
6 82 85
7 19 56
8 86 92
9 70 19
10 37 4 10
11 72 27 10
12 45 73 10
13 1 63 10
14 79 68 10
15 9 90 10
16 15 30 10
17 27 61 10
18 62 53 10
19 90 79 10
20 23 54 10
21 8 85 10
22 18 85 10
23 62 46 10
24 42 90 10
25 39 3 10
26 66 69 10
27 67 21 10
28 63 12 10
29 11 35 10
30 17 8 10
31 30 15 10
32 75 36 10
33 37 2 10
34 28 55 10
35 39 28 10
36 65 26 10
37 87 33 10
38 76 97 10
39 18 15 10
40 36 26 10
41 15 5 10
42 98 55 10
43 52 95 10
44 59 14 10
45 22 53 10
46 18 71 10
47 88 61 10
48 70 95 10
49 16 25 10
50 75 17 10
51 17 81 10
52 9 77 10
53 97 27 10
54 21 83 10
55 31 23 10
56 43 85 10
57 78 2 10
58 95 90 10
59 7 53 10
