5	75	100	
0	24	30	
1	42	2	
2	38	75	
3	49	70	
4	21	51	
20	58	22	10
21	83	77	10
22	77	53	10
23	45	54	10
24	4	50	10
25	60	29	10
26	2	66	10
27	32	52	10
28	46	11	10
29	80	5	10
30	74	4	10
31	59	0	10
32	55	23	10
33	31	40	10
34	49	75	10
35	25	18	10
36	66	72	10
37	9	22	10
38	92	55	10
39	82	98	10
40	10	0	10
41	24	47	10
42	22	37	10
43	9	42	10
44	8	78	10
45	96	91	10
46	20	22	10
47	89	84	10
48	49	92	10
49	33	33	10
50	6	37	10
51	4	19	10
52	76	92	10
53	60	48	10
54	82	76	10
55	59	29	10
56	42	79	10
57	71	34	10
58	44	17	10
59	47	22	10
60	28	4	10
61	12	38	10
62	98	41	10
63	45	10	10
64	96	38	10
65	83	29	10
66	20	84	10
67	31	65	10
68	44	48	10
69	32	46	10
70	36	69	10
71	54	47	10
72	54	4	10
73	21	57	10
74	45	17	10
75	52	84	10
76	92	62	10
77	79	88	10
78	27	40	10
79	6	50	10
80	92	58	10
81	9	22	10
82	14	19	10
83	43	44	10
84	26	87	10
85	36	4	10
86	87	58	10
87	74	22	10
88	13	74	10
89	2	53	10
90	99	69	10
91	36	99	10
92	44	57	10
93	33	89	10
94	33	82	10
