10 75 150
0 82 75
1 53 85
2 0 60
3 62 61
4 51 10
5 32 71
6 41 38
7 14 4
8 89 19
9 36 81
20 33 60 10
21 39 75 10
22 3 35 10
23 14 68 10
24 9 22 10
25 37 63 10
26 87 36 10
27 67 19 10
28 61 11 10
29 28 82 10
30 68 100 10
31 44 15 10
32 62 33 10
33 32 16 10
34 53 53 10
35 48 48 10
36 81 9 10
37 26 13 10
38 91 53 10
39 57 38 10
40 63 58 10
41 26 98 10
42 35 60 10
43 47 43 10
44 18 71 10
45 6 55 10
46 11 86 10
47 54 99 10
48 99 16 10
49 8 26 10
50 23 87 10
51 2 24 10
52 94 59 10
53 66 56 10
54 47 18 10
55 41 75 10
56 26 43 10
57 50 95 10
58 12 11 10
59 55 34 10
60 90 86 10
61 7 13 10
62 72 84 10
63 14 79 10
64 14 93 10
65 79 81 10
66 66 32 10
67 38 16 10
68 62 56 10
69 84 0 10
70 96 5 10
71 25 71 10
72 11 15 10
73 55 44 10
74 15 32 10
75 30 57 10
76 95 3 10
77 74 55 10
78 76 36 10
79 90 32 10
80 44 65 10
81 30 56 10
82 73 47 10
83 25 46 10
84 54 29 10
85 71 38 10
86 40 17 10
87 26 33 10
88 90 92 10
89 3 42 10
90 69 91 10
91 21 94 10
92 28 17 10
93 30 31 10
94 17 18 10
