10 75 150
0 47 64
1 65 19
2 42 1
3 87 14
4 15 97
5 56 16
6 85 60
7 68 89
8 16 78
9 54 86
20 10 100 10
21 12 40 10
22 25 62 10
23 70 45 10
24 28 10 10
25 36 94 10
26 31 89 10
27 6 6 10
28 93 68 10
29 12 86 10
30 63 76 10
31 94 11 10
32 14 34 10
33 19 42 10
34 8 15 10
35 31 87 10
36 40 60 10
37 9 40 10
38 26 39 10
39 7 42 10
40 21 73 10
41 13 61 10
42 40 47 10
43 91 10 10
44 77 39 10
45 1 69 10
46 30 62 10
47 66 96 10
48 10 88 10
49 94 60 10
50 91 24 10
51 31 58 10
52 20 89 10
53 20 43 10
54 40 24 10
55 34 42 10
56 36 0 10
57 34 93 10
58 19 15 10
59 3 34 10
60 83 29 10
61 80 36 10
62 59 54 10
63 51 62 10
64 52 64 10
65 3 77 10
66 92 49 10
67 31 4 10
68 37 96 10
69 5 91 10
70 20 28 10
71 10 73 10
72 19 92 10
73 18 76 10
74 13 72 10
75 91 17 10
76 62 10 10
77 9 63 10
78 20 26 10
79 49 77 10
80 67 96 10
81 90 44 10
82 45 13 10
83 38 26 10
84 20 92 10
85 87 15 10
86 8 94 10
87 77 13 10
88 96 21 10
89 49 80 10
90 47 48 10
91 85 86 10
92 1 5 10
93 34 63 10
94 88 4 10
